t;Adj Close
0;31176.01
1;30996.98
2;30960.00
3;30937.04
4;30303.17
5;30603.36
6;29982.62
7;30211.91
8;30687.48
9;30723.60
10;31055.86
11;31148.24
12;31385.76
13;31375.83
14;31437.80
15;31430.70
16;31458.40
17;31522.75
18;31613.02
19;31493.34
20;31494.32
21;31521.69
22;31537.35
23;31961.86
24;31402.01
25;30932.37
26;31535.51
27;31391.52
28;31270.09
29;30924.14
30;31496.30
31;31802.44
32;31832.74
33;32297.02
34;32485.59
35;32778.64
36;32953.46
37;32825.95
38;33015.37
39;32862.30
40;32627.97
41;32731.20
42;32423.15
43;32420.06
44;32619.48
45;33072.88
46;33171.37
47;33066.96
48;32981.55
49;33153.21
50;33527.19
51;33430.24
52;33446.26
53;33503.57
54;33800.60
55;33745.40
56;33677.27
57;33730.89
58;34035.99
59;34200.67
60;34077.63
61;33821.30
62;34137.31
63;33815.90
64;34043.49
65;33981.57
66;33984.93
67;33820.38
68;34060.36
69;33874.85
70;34113.23
71;34133.03
72;34230.34
73;34548.53
74;34777.76
75;34742.82
76;34269.16
77;33587.66
78;34021.45
79;34382.13
80;34327.79
81;34060.66
82;33896.04
83;34084.15
84;34207.84
85;34393.98
86;34312.46
87;34323.05
88;34464.64
89;34529.45
90;34575.31
91;34600.38
92;34577.04
93;34756.39
94;34630.24
95;34599.82
96;34447.14
97;34466.24
98;34479.60
99;34393.75
100;34299.33
101;34033.67
102;33823.45
103;33290.08
104;33876.97
105;33945.58
106;33874.24
107;34196.82
108;34433.84
109;34283.27
110;34292.29
111;34502.51
112;34633.53
113;34786.35
114;34577.37
115;34681.79
116;34421.93
117;34870.16
118;34996.18
119;34888.79
120;34933.23
121;34987.02
122;34687.85
123;33962.04
124;34511.99
125;34798.00
126;34823.35
127;35061.55
128;35144.31
129;35058.52
130;34930.93
131;35084.53
132;34935.47
133;34838.16
134;35116.40
135;34792.67
136;35064.25
137;35208.51
138;35101.85
139;35264.67
140;35484.97
141;35499.85
142;35515.38
143;35625.40
144;35343.28
145;34960.69
146;34894.12
147;35120.08
148;35335.71
149;35366.26
150;35405.50
151;35213.12
152;35455.80
153;35399.84
154;35360.73
155;35312.53
156;35443.82
157;35369.09
158;35100.00
159;35031.07
160;34879.38
161;34607.72
162;34869.63
163;34577.57
164;34814.39
165;34751.32
166;34584.88
167;33970.47
168;33919.84
169;34258.32
170;34764.82
171;34798.00
172;34869.37
173;34299.99
174;34390.72
175;33843.92
176;34326.46
177;34002.92
178;34314.67
179;34416.99
180;34754.94
181;34746.25
182;34496.06
183;34378.34
184;34377.81
185;34912.56
186;35294.76
187;35258.61
188;35457.31
189;35609.34
190;35603.08
191;35677.02
192;35741.15
193;35756.88
194;35490.69
195;35730.48
196;35819.56
197;35913.84
198;36052.63
199;36157.58
200;36124.23
201;36327.95
202;36432.22
203;36319.98
204;36079.94
205;35921.23
206;36100.31
207;36087.45
208;36142.22
209;35931.05
210;35870.95
211;35601.98
212;35619.25
213;35813.80
214;35804.38
215;34899.34
216;35135.94
217;34483.72
218;34022.04
219;34639.79
220;34580.08
221;35227.03
222;35719.43
223;35754.75
224;35754.69
225;35970.99
226;35650.95
227;35544.18
228;35927.43
229;35897.64
230;35365.44
231;34932.16
232;35492.70
233;35753.89
234;35950.56
235;36302.38
236;36398.21
237;36488.63
238;36398.08
239;36338.30
240;36585.06
241;36799.65
242;36407.11
243;36236.47
244;36231.66
245;36068.87
246;36252.02
247;36290.32
248;36113.62
249;35911.81
250;35368.47
251;35028.65
252;34715.39
