t;Adj Close
0;6715.42
1;6695.07
2;6638.85
3;6654.01
4;6567.37
5;6526.15
6;6407.46
7;6466.42
8;6516.65
9;6507.82
10;6503.72
11;6489.33
12;6523.53
13;6531.56
14;6524.36
15;6528.72
16;6589.79
17;6756.11
18;6748.86
19;6710.90
20;6617.15
21;6624.02
22;6612.24
23;6625.94
24;6658.97
25;6651.96
26;6483.43
27;6588.53
28;6613.75
29;6675.47
30;6650.88
31;6630.52
32;6719.13
33;6730.34
34;6725.60
35;6736.96
36;6761.47
37;6749.70
38;6803.61
39;6762.67
40;6779.68
41;6708.71
42;6726.10
43;6699.19
44;6712.89
45;6674.83
46;6740.59
47;6736.17
48;6772.12
49;6713.63
50;6737.30
51;6737.30
52;6737.30
53;6823.55
54;6885.32
55;6942.22
56;6915.75
57;6889.12
58;6890.49
59;6939.58
60;6983.50
61;7019.53
62;7000.08
63;6859.87
64;6895.29
65;6938.24
66;6938.56
67;6963.12
68;6944.97
69;6963.67
70;6961.48
71;6969.81
72;6923.17
73;7039.30
74;7076.17
75;7129.71
76;7123.68
77;6947.99
78;7004.63
79;6963.33
80;7043.61
81;7032.85
82;7034.24
83;6950.20
84;7019.79
85;7018.05
86;7051.59
87;7029.79
88;7026.93
89;7019.67
90;7022.61
91;7080.46
92;7108.00
93;7064.35
94;7069.04
95;7077.22
96;7095.09
97;7081.01
98;7088.18
99;7134.06
100;7146.68
101;7172.48
102;7184.95
103;7153.43
104;7017.47
105;7062.29
106;7090.01
107;7074.06
108;7109.97
109;7136.07
110;7072.97
111;7087.55
112;7037.47
113;7125.16
114;7123.27
115;7164.91
116;7100.88
117;7151.02
118;7030.66
119;7121.88
120;7125.42
121;7124.72
122;7091.19
123;7012.02
124;7008.09
125;6844.39
126;6881.13
127;6998.28
128;6968.30
129;7027.58
130;7025.43
131;6996.08
132;7016.63
133;7078.42
134;7032.30
135;7081.72
136;7105.72
137;7123.86
138;7120.43
139;7122.95
140;7132.30
141;7161.04
142;7220.14
143;7193.23
144;7218.71
145;7153.98
146;7181.11
147;7169.32
148;7058.86
149;7087.90
150;7109.02
151;7125.78
152;7150.12
153;7124.98
154;7148.01
155;7119.70
156;7149.84
157;7163.90
158;7138.35
159;7187.18
160;7149.37
161;7095.53
162;7024.21
163;7029.20
164;7068.43
165;7034.06
166;7016.49
167;7027.48
168;6963.64
169;6903.91
170;6980.98
171;7083.37
172;7078.35
173;7051.48
174;7063.40
175;7028.10
176;7108.16
177;7086.42
178;7027.07
179;7011.01
180;7077.10
181;6995.87
182;7078.04
183;7095.55
184;7146.85
185;7130.23
186;7141.82
187;7207.71
188;7234.03
189;7203.83
190;7217.53
191;7223.10
192;7190.30
193;7204.55
194;7222.82
195;7277.62
196;7253.27
197;7249.47
198;7237.57
199;7288.62
200;7274.81
201;7248.89
202;7279.91
203;7303.96
204;7300.40
205;7274.04
206;7340.15
207;7384.18
208;7347.91
209;7351.86
210;7326.97
211;7291.20
212;7255.96
213;7223.57
214;7255.46
215;7266.69
216;7286.32
217;7310.37
218;7044.03
219;7109.95
220;7059.45
221;7168.68
222;7129.21
223;7122.32
224;7232.28
225;7339.90
226;7337.05
227;7321.26
228;7291.78
229;7231.44
230;7218.64
231;7170.75
232;7260.61
233;7269.92
234;7198.03
235;7297.41
236;7341.66
237;7373.34
238;7372.10
239;7372.10
240;7372.10
241;7420.69
242;7403.01
243;7384.54
244;7505.15
245;7516.87
246;7450.37
247;7485.28
248;7445.25
249;7491.37
250;7551.72
251;7563.85
252;7542.95
253;7611.23
254;7563.55
255;7589.66
256;7585.01
