t;Adj Close
0;13906.669922
1;13873.969727
2;13643.950195
3;13870.990234
4;13620.459961
5;13665.929688
6;13432.870117
7;13622.019531
8;13835.160156
9;13933.629883
10;14060.290039
11;14056.719727
12;14059.910156
13;14011.799805
14;13932.969727
15;14040.910156
16;14049.889648
17;14109.480469
18;14064.599609
19;13909.269531
20;13886.929688
21;13993.230469
22;13950.040039
23;13864.809570
24;13976.000000
25;13879.330078
26;13786.290039
27;14012.820313
28;14039.799805
29;14080.030273
30;14056.339844
31;13920.690430
32;14380.910156
33;14437.940430
34;14540.250000
35;14569.389648
36;14502.389648
37;14461.419922
38;14557.580078
39;14596.610352
40;14775.519531
41;14621.000000
42;14657.209961
43;14662.019531
44;14610.389648
45;14621.360352
46;14748.940430
47;14817.719727
48;15008.610352
49;15008.339844
50;15107.169922
51;15212.679688
52;15176.360352
53;15202.679688
54;15234.160156
55;15215.000000
56;15234.360352
57;15209.150391
58;15255.330078
59;15459.750000
60;15368.389648
61;15129.509766
62;15195.969727
63;15320.519531
64;15279.620117
65;15296.339844
66;15249.269531
67;15292.179688
68;15154.200195
69;15135.910156
70;15236.469727
71;14856.480469
72;15170.780273
73;15196.740234
74;15399.650391
75;15400.410156
76;15119.750000
77;15150.219727
78;15199.679688
79;15416.639648
80;15396.620117
81;15386.580078
82;15113.559570
83;15370.259766
84;15437.509766
85;15465.089844
86;15450.719727
87;15406.730469
88;15519.980469
89;15421.129883
90;15567.360352
91;15602.709961
92;15632.669922
93;15692.900391
94;15677.150391
95;15640.599609
96;15581.139648
97;15571.219727
98;15693.269531
99;15673.639648
100;15729.519531
101;15710.570313
102;15727.669922
103;15448.040039
104;15603.240234
105;15636.330078
106;15456.389648
107;15589.230469
108;15607.969727
109;15554.179688
110;15690.589844
111;15531.040039
112;15603.809570
113;15650.089844
114;15661.969727
115;15511.379883
116;15692.709961
117;15420.639648
118;15687.929688
119;15790.509766
120;15789.639648
121;15788.980469
122;15629.660156
123;15540.309570
124;15133.200195
125;15216.269531
126;15422.500000
127;15514.540039
128;15669.290039
129;15618.980469
130;15519.129883
131;15570.360352
132;15640.469727
133;15544.389648
134;15568.730469
135;15555.080078
136;15692.129883
137;15744.669922
138;15761.450195
139;15745.410156
140;15770.709961
141;15826.089844
142;15937.509766
143;15977.440430
144;15925.730469
145;15921.950195
146;15965.969727
147;15765.809570
148;15808.040039
149;15852.790039
150;15905.849609
151;15860.660156
152;15793.620117
153;15851.750000
154;15887.309570
155;15835.089844
156;15824.290039
157;15840.589844
158;15781.200195
159;15932.120117
160;15843.089844
161;15610.280273
162;15623.150391
163;15609.809570
164;15701.419922
165;15722.990234
166;15616.000000
167;15651.750000
168;15490.169922
169;15132.059570
170;15348.530273
171;15506.740234
172;15643.969727
173;15531.750000
174;15573.879883
175;15248.559570
176;15365.269531
177;15260.690430
178;15156.440430
179;15036.549805
180;15194.490234
181;14973.330078
182;15250.860352
183;15206.129883
184;15199.139648
185;15146.870117
186;15249.379883
187;15462.719727
188;15587.360352
189;15474.469727
190;15515.830078
191;15522.919922
192;15472.559570
193;15542.980469
194;15599.230469
195;15757.059570
196;15705.809570
197;15696.330078
198;15688.769531
199;15806.290039
200;15954.450195
201;15959.980469
202;16029.650391
203;16054.360352
204;16046.519531
205;16040.469727
206;16067.830078
207;16083.110352
208;16094.070313
209;16148.639648
210;16247.860352
211;16251.129883
212;16221.730469
213;16159.969727
214;16115.690430
215;15937.000000
216;15878.389648
217;15917.980469
218;15257.040039
219;15280.860352
220;15100.129883
221;15472.669922
222;15263.110352
223;15169.980469
224;15380.790039
225;15813.940430
226;15687.089844
227;15639.259766
228;15623.309570
229;15621.719727
230;15453.559570
231;15476.349609
232;15636.400391
233;15531.690430
234;15239.669922
235;15447.440430
236;15593.469727
237;15756.309570
238;15835.250000
239;15963.700195
240;15852.250000
241;15884.860352
242;16020.730469
243;16152.610352
244;16271.750000
245;16052.030273
246;15947.740234
247;15768.269531
248;15941.809570
249;16010.320313
250;16031.589844
251;15883.240234
252;15933.719727
253;15772.559570
254;15809.719727
255;15912.330078
256;15581.330078
