t;Adj Close
0;13530.910156
1;13543.059570
2;13635.990234
3;13626.059570
4;13270.599609
5;13337.160156
6;13070.690430
7;13403.389648
8;13612.780273
9;13610.540039
10;13777.740234
11;13856.299805
12;13987.639648
13;14007.700195
14;13972.530273
15;14025.769531
16;14095.469727
17;14047.500000
18;13965.490234
19;13865.360352
20;13874.459961
21;13533.049805
22;13465.200195
23;13597.969727
24;13119.429688
25;13192.349609
26;13588.830078
27;13358.790039
28;12997.750000
29;12723.469727
30;12920.150391
31;12609.160156
32;13073.820313
33;13068.830078
34;13398.669922
35;13319.860352
36;13459.709961
37;13471.570313
38;13525.200195
39;13116.169922
40;13215.240234
41;13377.540039
42;13227.700195
43;12961.889648
44;12977.679688
45;13138.730469
46;13059.650391
47;13045.389648
48;13246.870117
49;13480.110352
50;13705.589844
51;13698.379883
52;13688.839844
53;13829.309570
54;13900.190430
55;13850.000000
56;13996.099609
57;13857.839844
58;14038.759766
59;14052.339844
60;13914.769531
61;13786.269531
62;13950.219727
63;13818.410156
64;14016.809570
65;14138.780273
66;14090.219727
67;14051.030273
68;14082.549805
69;13962.679688
70;13895.120117
71;13633.500000
72;13582.419922
73;13632.839844
74;13752.240234
75;13401.860352
76;13389.429688
77;13031.679688
78;13124.990234
79;13429.980469
80;13379.049805
81;13303.639648
82;13299.740234
83;13535.740234
84;13470.990234
85;13661.169922
86;13657.169922
87;13738.000000
88;13736.280273
89;13748.740234
90;13736.480469
91;13756.330078
92;13614.509766
93;13814.490234
94;13881.719727
95;13924.910156
96;13911.750000
97;14020.330078
98;14069.419922
99;14174.139648
100;14072.860352
101;14039.679688
102;14161.349609
103;14030.379883
104;14141.480469
105;14253.269531
106;14271.730469
107;14369.709961
108;14360.389648
109;14500.509766
110;14528.330078
111;14503.950195
112;14522.379883
113;14639.330078
114;14663.639648
115;14665.059570
116;14559.780273
117;14701.919922
118;14733.240234
119;14677.650391
120;14644.950195
121;14543.129883
122;14427.240234
123;14274.980469
124;14498.879883
125;14631.950195
126;14684.599609
127;14836.990234
128;14840.709961
129;14660.580078
130;14762.580078
131;14778.259766
132;14672.679688
133;14681.070313
134;14761.290039
135;14780.530273
136;14895.120117
137;14835.759766
138;14860.179688
139;14788.089844
140;14765.139648
141;14816.259766
142;14822.900391
143;14793.759766
144;14656.179688
145;14525.910156
146;14541.790039
147;14714.660156
148;14942.650391
149;15019.799805
150;15041.860352
151;14945.809570
152;15129.500000
153;15265.889648
154;15259.240234
155;15309.379883
156;15331.179688
157;15363.519531
158;15374.330078
159;15286.639648
160;15248.250000
161;15115.490234
162;15105.580078
163;15037.759766
164;15161.530273
165;15181.919922
166;15043.969727
167;14713.900391
168;14746.400391
169;14896.849609
170;15052.240234
171;15047.700195
172;14969.969727
173;14546.679688
174;14512.440430
175;14448.580078
176;14566.700195
177;14255.480469
178;14433.830078
179;14501.910156
180;14654.019531
181;14579.540039
182;14486.200195
183;14465.919922
184;14571.639648
185;14823.429688
186;14897.339844
187;15021.809570
188;15129.089844
189;15121.679688
190;15215.700195
191;15090.200195
192;15226.709961
193;15235.709961
194;15235.839844
195;15448.120117
196;15498.389648
197;15595.919922
198;15649.599609
199;15811.580078
200;15940.309570
201;15971.589844
202;15982.360352
203;15886.540039
204;15622.709961
205;15704.280273
206;15860.959961
207;15853.849609
208;15973.860352
209;15921.570313
210;15993.709961
211;16057.440430
212;15854.759766
213;15775.139648
214;15845.230469
215;15491.660156
216;15782.830078
217;15537.690430
218;15254.049805
219;15381.320313
220;15085.469727
221;15225.150391
222;15686.919922
223;15786.990234
224;15517.370117
225;15630.599609
226;15413.280273
227;15237.639648
228;15565.580078
229;15180.429688
230;15169.679688
231;14980.940430
232;15341.089844
233;15521.889648
234;15653.370117
235;15871.259766
236;15781.719727
237;15766.219727
238;15741.559570
239;15644.969727
240;15832.799805
241;15622.719727
242;15100.169922
243;15080.860352
244;14935.900391
245;14942.830078
246;15153.450195
247;15188.389648
248;14806.809570
249;14893.750000
250;14506.900391
251;14340.259766
252;14154.019531
